Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_clear_tags	asset_clear_tags	function	asset_clear_tags(name,[asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_clear_tags.htm
Asset_Management.Assets_And_Tags.asset_get_ids	asset_get_ids	function	asset_get_ids(asset_type);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_ids.htm
Asset_Management.Assets_And_Tags.asset_get_index	asset_get_index	function	asset_get_index(name);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_index.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
Asset_Management.Assets_And_Tags.asset_get_tags	asset_get_tags	function	asset_get_tags(name_or_index, [asset_type]);	https://manual.gamemaker.io/monthly/en/GameMaker_Language/GML_Reference/Asset_Management/Assets_And_Tags/asset_get_tags.htm
